Metric,Value
Overall Accuracy,0.8629696227105644
Kappa,0.820926028536242
Class 1 - precision,0.8966516053741883
Class 1 - recall,0.8331628000088974
Class 1 - f1_score,0.8637420983907091
Class 2 - precision,0.8840080245519404
Class 2 - recall,0.9610598199738858
Class 2 - f1_score,0.920925043978204
Class 5 - precision,0.9056489782731605
Class 5 - recall,0.8624306230694446
Class 5 - f1_score,0.8835115930540957
Class 24 - precision,0.1919334866442597
Class 24 - recall,0.7582110412299091
Class 24 - f1_score,0.30632411067193677
Class 26 - precision,0.9073706435784903
Class 26 - recall,0.865040732746343
Class 26 - f1_score,0.8857002125784207
Class 36 - precision,0.0
Class 36 - recall,0.0
Class 36 - f1_score,0.0
Class 37 - precision,0.7946173507743196
Class 37 - recall,0.1879311571012019
Class 37 - f1_score,0.3039714721191729
Class 59 - precision,0.8207440811724915
Class 59 - recall,0.5392592592592592
Class 59 - f1_score,0.6508717031738936
Class 111 - precision,0.8529523809523809
Class 111 - recall,0.28615246980637743
Class 111 - f1_score,0.42853725058615244
Class 121 - precision,0.34537736413097636
Class 121 - recall,0.3089071496051764
Class 121 - f1_score,0.32612582096012344
Class 122 - precision,0.3583434549230106
Class 122 - recall,0.24307013580673453
Class 122 - f1_score,0.2896595407759303
Class 123 - precision,0.431657848324515
Class 123 - recall,0.09482758620689655
Class 123 - f1_score,0.15549555273189328
Class 124 - precision,0.7176470588235294
Class 124 - recall,0.14710610932475884
Class 124 - f1_score,0.24416277518345564
Class 141 - precision,0.7102231197582681
Class 141 - recall,0.575018454912057
Class 141 - f1_score,0.6355091665486714
Class 142 - precision,0.45828295042321643
Class 142 - recall,0.15732669157326692
Class 142 - f1_score,0.2342398022249691
Class 143 - precision,0.3605769230769231
Class 143 - recall,0.007535416457349542
Class 143 - f1_score,0.014762326542663124
Class 176 - precision,0.6056578485496378
Class 176 - recall,0.2467305392335292
Class 176 - f1_score,0.3506248787652063
Class 190 - precision,0.9544685491688507
Class 190 - recall,0.8371208319311028
Class 190 - f1_score,0.8919515982414993
Class 254 - precision,0.0
Class 254 - recall,0.0
Class 254 - f1_score,0.0
Class 255 - precision,0.9997957651883194
Class 255 - recall,0.9953791668944904
Class 255 - f1_score,0.9975825776629035
